property_id,legacy_code,display_name,record_type,status,parent_property_id,project_legacy_code,unit_reference_hint,building_portal,floor_label,floor_level,building_door,updated_at,created_at
b7777ab8-3113-4a96-bcc2-a01b5b7ca928,PM0079-29,Unidad 29 en Nylva Homes (Manilva),unit,available,2a898c8e-8018-4f5c-95d3-7011f81ada28,PM0079,,,Atico duplex,2,,2026-02-19T11:50:16.58232+00:00,2026-02-18T11:45:28.249854+00:00
194a04eb-886f-49bd-95cb-b7e199f2cac3,PM0079-30,Unidad 30 en Nylva Homes (Manilva),unit,available,2a898c8e-8018-4f5c-95d3-7011f81ada28,PM0079,,,Atico duplex,2,,2026-02-19T11:50:16.678781+00:00,2026-02-18T11:45:28.249854+00:00
f598db5e-b9b8-4398-ba1d-3769921426c1,PM0079-31,Unidad 31 en Nylva Homes (Manilva),unit,available,2a898c8e-8018-4f5c-95d3-7011f81ada28,PM0079,,,Atico duplex,2,,2026-02-19T11:50:16.764871+00:00,2026-02-18T11:45:28.249854+00:00
4f5fcb9b-b60d-4c15-b336-1758274f60bd,PM0079-32,Unidad 32 en Nylva Homes (Manilva),unit,available,2a898c8e-8018-4f5c-95d3-7011f81ada28,PM0079,,,Atico duplex,2,,2026-02-19T11:50:16.846743+00:00,2026-02-18T11:45:28.249854+00:00
ac8f2bb3-af03-4eb9-8b96-15cb9a812655,PM0079-33,Unidad 33 en Nylva Homes (Manilva),unit,sold,2a898c8e-8018-4f5c-95d3-7011f81ada28,PM0079,,,Atico duplex,2,,2026-02-19T11:50:16.935123+00:00,2026-02-18T11:45:28.249854+00:00
e29e9abd-e794-45b1-81d8-8d7ba328603b,PM0079-34,Unidad 34 en Nylva Homes (Manilva),unit,available,2a898c8e-8018-4f5c-95d3-7011f81ada28,PM0079,,,Planta baja,0,,2026-02-19T11:50:17.010708+00:00,2026-02-18T11:45:28.249854+00:00
a09e1463-cf27-4750-abf9-2963445561d4,PM0079-35,Unidad 35 en Nylva Homes (Manilva),unit,available,2a898c8e-8018-4f5c-95d3-7011f81ada28,PM0079,,,Planta baja,0,,2026-02-19T11:50:17.164728+00:00,2026-02-18T11:45:28.249854+00:00
4bbed3b3-ee81-4f86-9fd8-52735d92a187,PM0079-36,Unidad 36 en Nylva Homes (Manilva),unit,sold,2a898c8e-8018-4f5c-95d3-7011f81ada28,PM0079,,,Planta baja,0,,2026-02-19T11:50:17.26132+00:00,2026-02-18T11:45:28.249854+00:00
f4ff22e6-94b1-40ae-94cc-586a4efa3415,PM0079-37,Unidad 37 en Nylva Homes (Manilva),unit,available,2a898c8e-8018-4f5c-95d3-7011f81ada28,PM0079,,,Planta baja,0,,2026-02-19T11:50:17.358863+00:00,2026-02-18T11:45:28.249854+00:00
59ad6a6b-c598-49f4-aae5-cd77690d67b0,PM0079-38,Unidad 38 en Nylva Homes (Manilva),unit,sold,2a898c8e-8018-4f5c-95d3-7011f81ada28,PM0079,,,Planta 1,1,,2026-02-19T11:50:17.434522+00:00,2026-02-18T11:45:28.249854+00:00
9d4d4ae3-b174-44b0-a29a-0e13b7303e6c,PM0079-39,Unidad 39 en Nylva Homes (Manilva),unit,sold,2a898c8e-8018-4f5c-95d3-7011f81ada28,PM0079,,,Planta 1,1,,2026-02-19T11:50:17.523583+00:00,2026-02-18T11:45:28.249854+00:00
